COUNTRY_NAME,DESIGNATION,OFFICIAL_NAME,OFFICIAL_NAME_URL
Burundi,Vice President,Prosper Bazombanza,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Vice_President_of_Burundi_Prosper_Bazombanza.png/220px-Vice_President_of_Burundi_Prosper_Bazombanza.png
Burundi,Prime Minister,Gervais Ndirakobuca,https://dataverse.fcsc.gov.ae/content/Default/no-image.jpg
Cabo Verde,President,José Maria Neves,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Jos%C3%A9_Maria_Neves.jpg/220px-Jos%C3%A9_Maria_Neves.jpg
Cabo Verde,Prime Minister,Ulisses Correia e Silva,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Sr._Ulisses_Corr%C3%AAa_e_Silva_%28cropped%29.png/220px-Sr._Ulisses_Corr%C3%AAa_e_Silva_%28cropped%29.png
Cambodia,Monarch,Norodom Sihamoni,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/King_Norodom_Sihamoni_%282019%29.jpg/220px-King_Norodom_Sihamoni_%282019%29.jpg
Cambodia,Prime Minister,Hun Sen,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Hun_Sen_July_2019.jpg/220px-Hun_Sen_July_2019.jpg
Cambodia,President of the Senate,Say Chhum,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Say_Chhum_2012.JPG/220px-Say_Chhum_2012.JPG
Cambodia,President of the National Assembly,Heng Samrin,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Samdech_Heng_Samrin_2018_cropped.jpg/220px-Samdech_Heng_Samrin_2018_cropped.jpg
Cameroon,President,Paul Biya,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Paul_Biya_2014.png/220px-Paul_Biya_2014.png
Cameroon,Prime Minister,Joseph Ngute,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Ngut%C3%A9_May_2019_%28cropped%29.jpg/220px-Ngut%C3%A9_May_2019_%28cropped%29.jpg
Cameroon,President of Senate,Marcel Niat Njifenji,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Marcel_Niat_Njifenji_Senateur.jpg/220px-Marcel_Niat_Njifenji_Senateur.jpg
Cameroon,President of National Assembly,Cavayé Yéguié Djibril,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/CavayeYeguie.jpg/220px-CavayeYeguie.jpg
Canada,Monarch,Charles III,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Charles_Prince_of_Wales.jpg/220px-Charles_Prince_of_Wales.jpg
Canada,Governor General,Mary Simon,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Mary_Simon%2C_Governor_General_of_Canada.jpg/220px-Mary_Simon%2C_Governor_General_of_Canada.jpg
Canada,Prime Minister,Justin Trudeau,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Justin_Trudeau_March_2022.jpg/220px-Justin_Trudeau_March_2022.jpg
